 playground,patio de recreo
"The Census Bureau is Hiring: Starting July 31, the Bureau will start hiring and training Census workers who will be conducting field work.","La Oficina del Censo está contratando: a partir del 31 de Julio, la Oficina comenzará a contratar y capacitar a los trabajadores del Censo que realizarán trabajo de campo."
People interested in working for the 2020 Census can apply online at 2020census.gov/jobs.,Las personas interesadas en trabajar para el Censo 2020 pueden aplicar en línea 2020census.gov/jobs.
Door to Door Enumeration: The Non-Responsive Follow Up Operation (NRFU) or door-to-door enumeration will start on August 11 through October 31.,"Enumeración puerta a puerta: la Operación de Seguimiento por Falta de Respuesta (NRFU, por sus siglas en inglés) o enumeración puerta a puerta se realizarán del 11 de Agosto hasta el 31 de Octubre."
"During this time, census workers will visit households that have not completed the 2020 Census questionnaire on their own.","Durante este periodo, los trabajadores del censo visitarán los hogares que no hayan completado el cuestionario del Censo 2020 por su cuenta."
"Census workers will stay outside, only ask the 9 questions that are on the census form, and follow public health orders to ensure health and safety.","Los trabajadores del censo permanecerán afuera, solo harán las nueve (9) preguntas que figuran en el formulario del censo y seguirán las órdenes de salud pública para garantizar la salud y la seguridad."
"Census workers will not ask for personal information (e.g., social security number, bank information, or immigration status).","Los trabajadores del censo no solicitarán información personal (por ejemplo, número de seguro social, información bancaria o status del inmigrante)."
"Service-Based Enumeration: On September 22, 23, and 24, the Bureau will conduct Service-Based Enumeration.","Enumeración en lugares donde se proveen servicios: los días 22, 23 y 24 de Septiembre, la Oficina llevará a cabo una enumeración en lugares donde se proveen servicios."
"This 3-day operation provides an opportunity for people without conventional housing and people who may be experiencing homelessness to be counted in the census at locations where they receive services (e.g., transitional shelters, soup kitchens, regularly scheduled mobile food van stops) or at pre-identified non-sheltered outdoor locations.","Esta operación de tres (3) días brinda una oportunidad para que las personas sin vivienda convencional y las personas que estén sin vivienda sean contadas en el censo en los lugares donde reciben servicios (por ejemplo, refugios de transición, comedores de beneficencia, paradas de camioneta de comida móviles programadas regularmente) o en lugares al aire libre no protegidos previamente identificados."
The San José Virtual Recreation Center offers free one-hour live stream classes every week:,El Centro de Recreación Virtual de San José ofrece clases gratuitas de transmisión en vivo de una hora todas las semanas:
Mondays: Get your blood pumping during a live Zumba Gold Class at 10:00 a.m. ,Lunes: haga que su sangre bombee durante una clase de Zumba Gold en vivo a las 10:00 a.m.
Every Monday & Wednesday through July: Join a live COVID-19 Safe Walking Tips Webinar at 2:00 p.m.  ,Todos los Lunes y Miércoles de Julio: únase a un seminario web de Consejos de Seguridad en Caminatas durante el COVID-19 en vivo a las 2:00 p.m.
Wednesdays: De-stress with live Yoga at 5:00 p.m.,Miércoles: libérese del estrés con Yoga en vivo a las 5:00 p.m.
Thursdays: Get moving with a live Total Body Conditioning Class at 11:15 a.m. ,Jueves: póngase en movimiento con una Clase de Acondicionamiento Corporal Total en vivo a las 11:15 a.m.
"Visit the City's Virtual Recreation Center at bit.ly/sjvirtualrec for links to these classes, as well as other daily activities.",Visite el Centro de Recreación Virtual de la Ciudad en bit.ly/sjvirtualrec para encontrar los enlaces a estas clases e informarse sobre otras actividades diarias.
The Virtual Recreation Center has over one hundred fun and educational resources to do at home during the shelter-in-place.,El Centro de Recreación Virtual tiene más de cien recursos divertidos y educativos para utilizar en casa durante el refugio en el lugar.
"Project Hope Lives Up to Namesake: Project Hope, a Parks, Recreation and Neighborhood Services Department program, is a community empowerment program designed to serve nine neighborhoods in San José.","Project Hope (Proyecto Esperanza) hace honor a su nombre: Project Hope, un programa del Departamento de Parques, Recreación y Servicios Comunitarios (Parks, Recreation and Neighborhood Services Department), es un programa de empoderamiento comunitario diseñado para servir a nueve vecindarios en San José."
"The program focuses on developing and maintaining groups of organized community leaders, creating a safer, cleaner neighborhood environment, and building partnerships and informed residents that know how to access City services.","El programa se enfoca en desarrollar y mantener grupos de líderes comunitarios organizados, crear un entorno comunitario más seguro y limpio, y crear asociaciones y residentes informados que sepan cómo acceder a los servicios de la Ciudad."
COVID-19 has amplified the needs of our most marginalized communities.,El COVID-19 ha aumentado las necesidades de nuestras comunidades más marginadas.
"Project Hope has embraced the challenge and has worked with its neighborhood associations to shift from in-person meetings to virtual meetings, so that residents can stay connected and associations continue to provide needed services to community members.","Project Hope ha aceptado el desafío y ha trabajado con sus asociaciones de vecinos para pasar de las reuniones en persona a las reuniones virtuales, de modo que los residentes puedan mantenerse conectados y las asociaciones continúen brindando los servicios necesarios a los miembros de la comunidad."
"For example, Project Hope assisted the Welch Park, Roundtable, and Cadillac/Winchester neighborhood associations in hosting their first virtual meetings which were well-attended by residents.","Por ejemplo, Project Hope ayudó a las asociaciones de vecinos de Welch Park, Roundtable y Cadillac/Winchester a organizar sus primeras reuniones virtuales a las que asistieron los residentes."
"Project Hope staff in collaboration with the Office of Immigrant Affairs also called residents in the Project Hope neighborhoods to inform them of available financial assistance programs, and helped those who qualify apply for assistance through Sacred Heart Community Services.","El personal de Project Hope, en colaboración con la Oficina de Asuntos de Inmigración, también llamó a los residentes de los vecindarios de Project Hope para informarles sobre los programas de asistencia financiera disponibles, y ayudó a las personas que reunían los requisitos para solicitar asistencia a través de los Servicios Comunitarios del Sagrado Corazón (Sacred Heart Community Services)."
"Despite the pandemic, Project Hope has adapted and continues to assist our most vulnerable communities in accessing City services.","A pesar de la pandemia, Project Hope se ha adaptado y continúa ayudando a nuestras comunidades más vulnerables a conectarse con los servicios de la Ciudad."
"Spanish Zoom Tutorial: With the understanding that not all residents are familiar with technology, Project Hope’s Language Access Unit created a “How to Use Zoom” video for Spanish speakers.","Tutorial de Zoom en Español: sabiendo que no todos los residentes están familiarizados con la tecnología, la Unidad de Acceso al Idioma de Project Hope creó un video “Cómo usar Zoom” (“How to Use Zoom”) para hispanohablantes."
The video provides step-by-step instructions so Spanish speaking neighbors can participate in neighborhood association meetings and virtual classes.,El video provee instrucciones paso a paso para que los vecinos de habla hispana puedan participar en las reuniones de la asociación de vecinos y en las clases virtuales.
COVID-19 has forced many City programs to adapt in order to meet the needs of residents.,El COVID-19 ha obligado a muchos programas de la Ciudad a adaptarse para satisfacer las necesidades de los residentes.
Project Hope’s ability to provide resources in different languages helps all residents access the services they need.,La capacidad de Project Hope de brindar recursos en diferentes idiomas ayuda a todos los residentes a acceder a los servicios que necesitan.
A video tutorial for Vietnamese-speaking residents is forthcoming.,Próximamente se ofrecerá un video tutorial para residentes de habla Vietnamita.
The Spanish tutorial can be viewed at the Virtual Recreation Center.,El tutorial en Español se puede ver en el Centro de Recreación Virtual.
"Fed Up With Fireworks: In time for the 4th of July holiday, the City of San José and Santa Clara County Fire Department have collaborated on a public education campaign to remind residents that all types of fireworks, even those labeled 'safe and sane' are illegal in San José and most of Santa Clara County.","Harto de los fuegos artificiales: a tiempo para el feriado del 4 de Julio, la Ciudad de San José y el Departamento de Bomberos del Condado de Santa Clara han colaborado en una campaña de educación pública para recordar a los residentes que todo tipo de fuegos artificiales, incluyendo aquellos etiquetados como “seguros”, son ilegales en San José y en la mayor parte del Condado de Santa Clara."
Residents are urged to report illegal fireworks activity online at www.sanjoseca.gov/fireworks.,Se recomienda a los residentes que denuncien en línea toda actividad ilegal de fuegos artificiales en www.sanjoseca.gov/fireworks.
"If able to safely take photos or video of fireworks being used on private property, snap a picture to include with the online report.","Si puede tomar de manera segura fotos o videos de los fuegos artificiales que se utilizan en una propiedad privada, tome una foto para incluirla en la denuncia en línea."
A 24-hour reporting hotline is also available at (408) 535-5600 or by dialing 311.,También está disponible una línea directa de denuncias las 24 horas en el número (408) 535-5600 o marcando 311.
"All reports will be reviewed and if sufficient information and evidence is provided, the City’s Code Enforcement Division will issue a warning or citation.","Todas las denuncias serán revisadas y, si se proporciona suficiente información y evidencia, la División de Aplicación del Código de la Ciudad emitirá una advertencia o multa."
"With many of our traditional 4th of July events cancelled this year due to the current health crisis, residents are encouraged to celebrate the holiday safely—and without the use of illegal fireworks.","Dado que muchos de nuestros eventos tradicionales del 4 de Julio se cancelaron este año debido a la actual crisis de salud, se anima a los residentes a celebrar de manera segura y sin el uso de fuegos artificiales ilegales."
Get creative and have fun this Independence Day! A number of safe and fun activity suggestions are available for community members to consider.,¡Sea creativo y diviértase en este Día de la Independencia! Hay un número de sugerencias de actividades seguras y divertidas a disposición de los miembros de la comunidad.
"San José Fire Department Live-Fire Training: The San José Fire Department will be conducting live-fire training exercises at Santa Teresa County Park on Thursday, June 25 and Friday, June 26 from 8:00 a.m. to 6:00 p.m. each day.","Entrenamiento con fuego real del Departamento de Bomberos de San José: el Departamento de Bomberos de San José llevará a cabo ejercicios de entrenamiento con fuego real en el Parque del Condado de Santa Teresa el Jueves 25 de Junio y el Viernes 26 de Junio, de 8:00 a.m. a 6:00 p.m. ambos días."
"Residents are advised that they may see smoke in the areas surrounding the park as a result of the planned training exercise, however, there is no cause for alarm.","Se informa a los residentes que es posible que vean humo en las áreas que rodean el parque como resultado del ejercicio de entrenamiento planificado, pero no hay motivo para alarmarse."
"This live-fire training is consistent with previous exercises the San José Fire Department has conducted in the park, allowing recruit firefighters to utilize specialized tools and equipment, personal protective equipment, and employ wildland suppression strategies and tactics in a controlled setting.","Este entrenamiento con fuego real corresponde a ejercicios anteriores que el Departamento de Bomberos de San José ha llevado a cabo en el parque, lo que permite a los bomberos utilizar herramientas y equipos especializados, equipos de protección personal y emplear estrategias y tácticas de supresión en áreas silvestres en un entorno controlado."
Park visitors are advised that the Mine Trail south of Bernal Road will be closed as well as the Pueblo Trail and the connector trail between Pueblo and Mine Trail.,"A los visitantes del parque se les informa que Mine Trail, al sur de Bernal Road, estará cerrado, así como Pueblo Trail y el sendero que conecta a Pueblo y Mine Trail."
The Pueblo day use area and the road to the equestrian lot will also be closed.,El área de uso diurno de Pueblo y el camino al lote ecuestre también estarán cerrados.
"As always, it is our primary concern that the community feels safe and is fully aware of the Fire Department’s ongoing effort to serve the community by protecting life, property, and environment through prevention and response.","Como siempre, es nuestra principal preocupación que la comunidad se sienta segura y sea plenamente consciente del esfuerzo continuo del Departamento de Bomberos para servir a la comunidad protegiendo la vida, la propiedad y el medio ambiente a través de la prevención y la asistencia."
Updates from the County of Santa Clara,Información actualizada del Condado de Santa Clara
Mobile Testing Program: The County of Santa Clara Health System’s mobile testing program continues to provide free diagnostic COVID-19 testing around the County.,Programa de pruebas móviles: el programa de pruebas móviles del Sistema de Salud del Condado de Santa Clara continúa brindando pruebas de diagnóstico gratuitas de COVID-19 en todo el Condado.
Nasal swab testing is free for everyone.,La prueba nasal es gratuita para todos.
No health insurance or doctor’s note is required.,No se requiere seguro médico ni una nota del médico.
No appointment is needed.,Tampoco se necesita cita.
Anyone can simply stop by to get tested.,Cualquier persona puede simplemente ir a hacerse la prueba.
A list of popup locations can be found on the Santa Clara County Public Health website.,Puede encontrar una lista de ubicaciones móviles en el sitio web de Salud Pública Del Condado de Santa Clara.
"A person’s risk for COVID-19 is not related to race, ethnicity or culture.","El riesgo de una persona para COVID-19 no está relacionado con la raza, el origen étnico o la cultura."
"City employees must abide by the Discrimination and Harassment policy, and treat colleagues and members of the public with courtesy and respect.","Los empleados de la ciudad deben cumplir con la política de Discriminación y Hostigamiento, y tratar a colegas y miembros del público con cortesía y respeto."
Discrimination and/or Harassment of any kind is a violation of the policies and will not be tolerated.,La discriminación y/o acoso de cualquier tipo es una violación de las políticas y no será tolerado.
Cancellations and/or Changes to City Services and/or Operations,Cancelaciones y/o cambios en los servicios y/u operaciones de la ciudad
Senior Meals Program: The City of San José’s Senior Nutrition Program will transition to a To-Go format until further notice.,Programa de comidas para personas mayores: El Programa de nutrición para personas mayores de la Ciudad de San José pasará a un formato para llevar hasta nuevo aviso.
"Pathways to Climate Smart Careers: The youth career fair that had been planned for Saturday, March 7, at the Fairmont San Jose, has been cancelled.",Pathways to Climate Smart Careers: la feria de carreras juveniles que se había planeado para el sábado 7 de marzo en el Fairmont San Jose ha sido cancelada.
Non-Essential Employee Travel: The City of San José is restricting all non-essential travel for employees until the end of April.,Viajes de empleados no esenciales: la ciudad de San José está restringiendo todos los viajes no esenciales para los empleados hasta finales de abril.
City Services and/or Operations NOT Changing,Servicios y/u operaciones de la ciudad que NO cambiaran
San José Police and Fire Departments: Regular operations continue.,Departamentos de policía y bomberos de San José: continúan las operaciones regulares.
"Mineta San José International Airport: Regular operations continue, although Hainan Airlines has temporarily cancelled flights.","Aeropuerto Internacional Mineta San José: las operaciones regulares continúan, aunque Hainan Airlines ha cancelado temporalmente los vuelos."
"Before heading to the airport, check with your airline for any flight changes.","Antes de dirigirse al aeropuerto, verifique con su aerolínea cualquier cambio de vuelo."
Garbage and Recycling Service: Garbage and Recycling service collection will continue as normal.,Servicio de basura y reciclaje: La recolección del servicio de basura y reciclaje continuará normalmente.
"Residents can contact their garbage, recycling, or yard trimmings company to report missed collections, damaged carts, or to change cart size.","Los residentes pueden contactar a su empresa de recolección de basura, reciclaje o recortes de jardín para reportar sobre colecciones perdidas, carretas dañadas o para cambiar el tamaño de la carreta."
Visit www.sjenvironment.org/lookup to locate collection companies.,Visite www.sjenvironment.org/lookup para ubicar empresas de recolección.
Libraries: All City libraries are open during regular operating hours.,Bibliotecas: todas las bibliotecas de la ciudad están abiertas durante el horario de atención habitual.
Community Centers: Community Centers are open today during regular operating hours.,Centros comunitarios: los centros comunitarios están abiertos hoy durante el horario normal de atención.
"Some services, meetings may be cancelled or postponed.",Algunos servicios/reuniones pueden cancelarse o posponerse.
Visit sanjoseca.gov for updates.,Visite sanjoseca.gov para actualizaciones.
"General Parks and Happy Hollow Park & Zoo: Happy Hollow Park & Zoo, Regional and Neighborhood Parks are open today during regular operating hours.","Parques generales y Parque Zoológico Happy Hollow: El Parque Zoológico Happy Hollow, los parques regionales y vecinales están abiertos hoy durante el horario de atención habitual."
"Some services, meetings may be cancelled or postponed.","Algunos servicios, las reuniones pueden cancelarse o posponerse."
General Volunteer Opportunities: Volunteer opportunities will proceed as scheduled today.,Oportunidades generales de voluntariado: las oportunidades de voluntariado procederán según lo programado hoy.
General Senior and Recreation Programming: Community Centers are open today during regular operating hours.,Programación general y de recreación: los centros comunitarios están abiertos hoy durante el horario normal de atención.
Animal Shelter: Facilities are open during regular hours.,Refugio de animales: las instalaciones están abiertas durante las horas regulares.
"See notices posted at facilities, and check sanjoseca.gov for updates.",Vea los avisos publicados en las instalaciones y visite sanjoseca.gov para actualizaciones.
Development Services and Permit Center: Regular operations continue.,Servicios de desarrollo y centro de permisos: las operaciones regulares continúan.
"Team San José Event Facilities: The Convention Center, San Jose Civic, California Theatre, Montgomery Theater and the Center for Performing Arts will continue events as scheduled.","Instalaciones para eventos del Equipo San José: el Centro de Convenciones, San Jose Civic, el Teatro de California, el Teatro Montgomery, y el Centro de Artes Escénicas continuarán los eventos según lo programado."
"Customer Contact Center: The City’s Customer Contact Center, located in the first floor lobby of City Hall, 200 E. Santa Clara Street, will continue regular operating hours.","Centro de contacto con el cliente: El Centro de contacto con el cliente de la ciudad, ubicado en el vestíbulo del primer piso del ayuntamiento, 200 E. Santa Clara Street, continuará el horario de atención habitual."
The following is information about the City of San José’s response to slow the spread of the novel coronavirus (COVID-19) and reduce the number of people infected.,La siguiente es información sobre la respuesta de la Ciudad de San José para frenar la propagación del nuevo coronavirus (COVID-19) y reducir la cantidad de personas infectadas
"Read the County of Santa Clara Public Health Department order and latest guidance requiring cancellation of mass gatherings of more than 1,000 persons and new recommendations to protect residents.  ","Lea el Condado de orden Clara Departamento de Salud Pública de Santa y la última orientación que requiere la cancelación de reuniones masivas de más de 1,000 personas y nuevas recomendaciones para proteger a los residentes."
Updates on City of San José Services and/or Operations  ,"Actualizaciones sobre servicios y/u operaciones de la ciudad "
"County Order Enforcement: The San José Police Department has an operations plan in place to enforce the County’s legal order requiring cancellation of mass gatherings consisting of more than 1,000 persons. ","Cumplimiento de órdenes del condado: El Departamento de Policía de San José tiene un plan de operaciones para hacer cumplir la orden legal del Condado que requiere la cancelación de reuniones masivas que consisten en más de 1,000 personas."
"For reasons of public safety, no information beyond this can be shared about the Police Department’s approach to enforcement.","Por razones de seguridad pública, no se puede compartir más información sobre el acercamiento del Departamento de Policía para hacer cumplir esta orden."
"Encampment Abatements: In coordination with public health officials, the Housing Department has temporarily suspended abatements of homeless encampments to avoid the possibility of unintentionally putting anyone at greater risk of exposure to COVID-19.","Reducciones de campamento de personas sin hogar: En coordinación con los funcionarios de salud pública, el Departamento de Vivienda ha suspendido temporalmente las reducciones de los campamentos de personas sin hogar para evitar la posibilidad de poner involuntariamente a cualquier persona en mayor riesgo de exposición al COVID-19."
"This suspension is effective March 10 through the second week of April, however, the situation is fluid and dates may change.","Esta suspensión es efectiva del 10 de marzo a la segunda semana de abril, sin embargo, la situación es fluida y las fechas pueden cambiar."
The Homeless Concerns Hotline remains open and the Housing Department continues to send outreach teams to encampments to help homeless individuals understand how best to protect themselves from the virus. ,La línea directa de inquietudes para personas sin hogar permanece abierta y el Departamento de Vivienda continúa enviando equipos de alcance comunitario a los campamentos para ayudar a las personas sin hogar a comprender la mejor manera de protegerse del virus.
Economic Impacts: City staff are continuing to work with our County partners to help manage the spread of COVID-19 to reduce transmission and avoid placing undue burden on our healthcare facilities.,Impactos económicos: El personal de la ciudad continúa trabajando con nuestros socios del condado para ayudar a administrar la propagación de COVID-19 para reducir la transmisión y evitar la carga excesiva en nuestras instalaciones de atención médica.
City staff are actively collecting data throughout this emergency response process to inform eventual financial impact analysis and fund recovery tracking.,El personal de la ciudad está recolectando datos activamente a lo largo de este proceso de respuesta de emergencia para informar el eventual análisis de impacto financiero y el seguimiento para la recuperación de fondos.
"Since the COVID-19 outbreak, seven conferences and twelve theater performances have cancelled in Team San José managed facilities.  ","Desde el comienzo del COVID-19, siete conferencias y doce obras de teatro se han cancelado en las instalaciones administradas por el Equipo San José."
"Community Forest Management Plan Meetings: Hosted by the Department of Transportation and originally scheduled for March 17, 18, and 19.","Reuniones del plan de manejo forestal comunitario: Organizado por el Departamento de Transporte y originalmente programado para el 17, 18 y 19 de marzo."
Will be postponed indefinitely. ,Se pospondrá indefinidamente.
Citizenship Day 2020: Naturalization assistance scheduled for April 4 and April 18 has been postponed until further notice. ,Día de la ciudadanía 2020: La asistencia de naturalización programada para el 4 y 18 de abril se ha pospuesto hasta nuevo aviso.
Happy Hollow Park & Zoo: Happy Hollow Park & Zoo is open during normal hours of operation and taking proactive steps to promote wellness.,Parque Zoológico Happy Hollow: El Parque Zoológico Happy Hollow está abierto durante las horas normales de operación y esta tomando medidas proactivas para promover el bienestar.
"In addition to increased sanitation efforts, the Park & Zoo has reduced admission to less than 900 visitors per day, which meets or exceeds the current Santa Clara County order regarding mass gatherings.","Además de mayores esfuerzos de saneamiento, el Parque y Zoológico ha reducido la admisión a menos de 900 visitantes por día, lo que cumple o excede la orden actual del Condado de Santa Clara con respecto a las reuniones masivas."
Operating hours and changes can be found at www.happyhollow.org. ,Las horas de operación y los cambios se pueden encontrar en www.happyhollow.org.
General Senior Programming: The United Nations Association Film Festival film screenings in March and April,Programación general para ancianos: Las presentaciones de películas del Festival de Cine de la Asociación de las Naciones Unidas en marzo y abril.
"The Dementia Friendly Programming for March scheduled to take place during the Senior Nutrition Program have been postponed and canceled, respectively.","La Programación Amigable a la Demencia para marzo programada para llevarse a cabo durante el Programa de Nutrición para Personas Mayores se han pospuesto y cancelado, respectivamente."
Community Centers: Community Centers are open today during regular operating hours.,Centros comunitarios: Los centros comunitarios están abiertos hoy durante el horario de atención regular.
"Some events, services and meetings may be cancelled or postponed if the space does not allow participants to practice social distancing.","Algunos eventos, servicios y reuniones pueden cancelarse o posponerse si el espacio no permite a los participantes practicar el distanciamiento social."
"The Neighbor Nights events scheduled for this Friday, March 13 at Almaden, Berryessa, Roosevelt and Seven Trees community centers have been cancelled.  ","Los eventos de Noches de Vecinos programados para este viernes 13 de marzo en los centros comunitarios Almaden, Berryessa, Roosevelt y Seven Trees han sido cancelados."
"For updates on cancelations and postponements, visit http://bit.ly/prnscancellations.","Para actualizaciones sobre cancelaciones y aplazamientos, visite http://bit.ly/prnscancellations."
Social Distancing within City of San José Workforce:,"Distancia social dentro de la fuerza laboral de la ciudad de San José: "
"The City is providing ways for all employees to maintain social distancing in the workplace, which may include a change in work location, alternate work schedules, and/or telecommuting.","La Ciudad está ofreciendo formas para que todos los empleados mantengan el distanciamiento social en el lugar de trabajo, lo que puede incluir un cambio en ubicación del trabajo, horarios de trabajo alternativos y/o teletrabajo."
"In addition, meetings are being held via phone or video conference whenever possible.","Además, las reuniones se realizan por teléfono o videoconferencia siempre que sea posible."
The City has also cancelled all non-essential business travel through the end of April. ,La Ciudad también ha cancelado todos los viajes de negocios no esenciales hasta fines de abril.
"SJC has been informed by TSA that three TSA employees at the Airport have tested positive for COVID-19. ","El TSA ha informado a SJC que tres empleados del TSA en el aeropuerto han resultados positivo por COVID-19. "
"The Airport has and continues to follow the County of Santa Clara Public Health Department's guidance for preventing the spread of COVID-19, and remains open for business, providing a high level of services for our customers.","El aeropuerto han y continúan siguiendo la dirección del Departamento de Salud Pública del Condado de Santa Clara para prevenir la propagación de COVID-19, y sigue abierto para los negocios, brindando un alto nivel de servicios para nuestros clientes."
The safety and health of our employees and the traveling public is our first priority.,La seguridad y salud de nuestros empleados y del público viajero es nuestra primera prioridad.
SJC Airport continues to clean facilities to meet and exceed the latest guidance from the Centers for Disease Control and Prevention.,El Aeropuerto SJC continúa limpiando las instalaciones para cumplir y superar la última guía de los Centros para el Control y la Prevención de Enfermedades.
"Census 2020: The City of San José continues to evaluate the potential impacts of COVID-19 on Census 2020 and the City’s goal of counting every person, regardless of age, gender, or immigration status.","Censo 2020: La Ciudad de San José continúa evaluando los posibles impactos de COVID-19 en el Censo 2020 y el objetivo de la Ciudad de contar a cada persona, independientemente de su edad, sexo o estado migratorio."
"Several events sponsored by community partners have been postponed or cancelled, and attendance at smaller events has been less than anticipated.","Varios eventos patrocinados por socios comunitarios han sido pospuestos o cancelados, y la asistencia a eventos más pequeños ha sido menos de lo anticipado."
The City is working with nonprofit and community partners to adjust outreach strategies as necessary to ensure every person is counted.,La Ciudad está trabajando con socios comunitarios y sin fines de lucro para ajustar las estrategias de divulgación publica según sea necesario para asegurar que cada persona sea contada.
"Youth Commission: The Youth Commission meeting scheduled for Monday, March 23, is canceled.",Comisión Juvenil: Se cancela la reunión de la Comisión Juvenil programada para el lunes 23 de marzo.
City Manager Dave Sykes and Assistant Fire Chief Reggie Williams shared at a press conference today that we have members of our San Jose Fire Department that have tested positive for COVID-19.,El Gerente de la Ciudad Dave Sykes y el Jefe Asistente de Bomberos Reggie Williams compartieron hoy en una conferencia de prensa que tenemos miembros de nuestro Departamento de Bomberos de San José que han dado positivo por COVID-19.
We have been tracking 80 sworn personnel who may have been exposed.,Hemos estado monitoreando a 80 personal jurados que pueden haber estado expuestas.
"As of this update, 16 are back at work, 52 remain on leave (quarantine), and 4 have tested positive.","A partir de esta actualización, 16 están de vuelta en el trabajo, 52 permanecen en cuarentena y 4 han dado positivo."
"Firefighters, due to the nature of their working conditions, live together and train together, and continue to be on the front lines as we help our community through the health threats COVID-19 presents.  ","Los bomberos, debido a la naturaleza de sus condiciones de trabajo, viven juntos y entrenan juntos, y continúan como primeros respondedores mientras ayudamos a nuestra comunidad a través de las amenazas a la salud que presenta COVID-19."
"This situation is very fluid, and we are working at the guidance of the Centers for Disease Control, the California Department of Health and Human Services and the Santa Clara Public Health Department.","Esta situación es muy fluida, y estamos trabajando bajo la dirección de los Centros para el Control de Enfermedades, el Departamento de Salud y Servicios Humanos de California y el Departamento de Salud Pública de Santa Clara."
"The health and safety of our employees, residents, businesses, and visitors remains the highest priority.","La salud y seguridad de nuestros empleados, residentes, empresas y visitantes sigue siendo la máxima prioridad."
"For firefighters, this includes special communicable disease response guidelines, personal protective equipment and decontamination procedures.","Para los bomberos, esto incluye directrices especiales de respuesta a enfermedades transmisibles, equipo de protección personal y procedimientos de descontaminación."
We have ordered a deep cleaning of fire stations and the Fire Training Center.,Hemos ordenado una limpieza profunda de las estaciones de bomberos y del Centro de Entrenamiento contra Incendios.
"Currently, all fire stations are up and running at normal resource levels. ","Actualmente, todas las estaciones de bomberos están funcionando a niveles normales de respuesta."
San Jose Fire Department: The City of San José has confirmed that members of our San Jose Fire Department have tested positive for COVID-19.,Departamento de bomberos de San José: La Ciudad de San José ha confirmado que los miembros de nuestro Departamento de Bomberos de San José han dado positivo por COVID-19.
"As of this update, six sworn personnel have tested positive and we are tracking the status of 70 who may have been exposed.","A partir de esta actualización, seis empleados juramentados han dado positivo y estamos monitoreando el estado de 70 que pueden haber estado expuestos."
The City will continue to provide updates to these numbers.,La ciudad continuará proporcionando actualizaciones a estos números.
The Fire Department has been able to successfully backfill all temporarily vacant positions and we expect to maintain normal resource levels indefinitely.,El Departamento de Bomberos ha podido rellenar con éxito todos los puestos temporalmente vacantes y esperamos mantener los niveles normales de recursos indefinidamente.
"After review of the employees’ work assignments, the Fire Department has proceeded to order deep cleaning of Fire Stations 9, 31 and the Fire Training Center.","Después de revisar las asignaciones de trabajo de los empleados, el Departamento de Bomberos ha procedido a ordenar una limpieza profunda de las Estaciones de Bomberos 9, 31 y el Centro de Capacitación de Bomberos."
"The situation is very fluid, and we are working at the guidance of the Centers for Disease Control, the California Department of Health and Human Services and the Santa Clara Public Health Department.","La situación es muy fluida y estamos trabajando bajo la dirección de los Centros para el Control de Enfermedades, el Departamento de Salud y Servicios Humanos de California y el Departamento de Salud Pública de Santa Clara."
Any individuals who were exposed have already been contacted.,Cualquier persona que estuvo expuesta ya ha sido contactada.
"If an individual was not contacted, then there is no risk of having been exposed by a SJFD firefighter.","Si no se contactó a un individuo, entonces no hay riesgo de haber sido expuesto por un bombero SJFD."
Mineta San Jose International Airport (SJC): The TSA Federal Security Director at SJC has notified us that one more TSA employee has tested positive for COVID-19.,Aeropuerto Internacional Mineta San José (SJC): El Director de Seguridad Federal de la TSA en SJC nos ha notificado que un empleado más de la TSA ha dado positivo por COVID-19.
The employee’s last day at work was March 7 and tested positive on March 12.,El último día de trabajo del empleado fue el 7 de marzo y dio positivo el 12 de marzo.
They were last stationed at the Security Identification Display Doors.    ,Esta persona estuvo estacionada por última vez en las puertas de exhibición de identificación de seguridad.
"Mineta San Jose International Airport (SJC): ANA has announced it will suspend service from SJC to Tokyo (Narita), Japan, starting March 24 until further notice.","Aeropuerto Internacional Mineta San José (SJC): ANA ha anunciado que suspenderá el servicio de SJC a Tokio (Narita), Japón, a partir del 24 de marzo hasta nuevo aviso."
"Before heading to the airport, check with your airline for any flight changes.","Antes de dirigirse al aeropuerto, verifique con su aerolínea cualquier cambio de vuelo."
"General Plan 4-Year Review Task Force: The Task Force that has been meeting to review the General Plan has cancelled its March 26, 2020 meeting.  ",Grupo de trabajo de revisión del Plan general de cada 4 años: El grupo de trabajo que se ha reunido para revisar el Plan General ha cancelado su reunión del 26 de marzo de 2020.
"On March 13, County of Santa Clara Public Health Officer Dr. Sara Cody officially announced a new legal order imposing a mandatory countywide moratorium on gatherings of more than 100 persons, and a conditional countywide moratorium on gatherings of between 35-100 persons, to mitigate the spread of COVID-19; and statement on school closure.","El 13 de marzo, la Dra. Sara Cody, Oficial de Salud Pública del Condado de Santa Clara, anunció oficialmente una nueva orden legal que imponía una moratoria obligatoria en todo el condado en las reuniones de más de 100 personas, y una moratoria condicional en todo el condado en reuniones de entre 35 y 100 personas, para mitigar la propagación de COVID-19; y declaración sobre el cierre de la escuela."
"To stay informed, check the Santa Clara County Public Health's website, subscribe on social media (Facebook, Twitter, Instagram) or call 2-1-1.","Para mantenerse informado, consulte el sitio web de Salud Pública del Condado de Santa Clara, suscríbase en las redes sociales (Facebook, Twitter, Instagram) o llame al 2-1-1."
Read the County order and latest guidance.,Lea la orden del condado y la última guía.
